locus_tag	ftype	length_bp	gene	EC_number	COG	product
Shinsuense_01428	gene	840				
Shinsuense_01428	CDS	840		3.1.1.23	COG2267	Monoacylglycerol lipase
Shinsuense_01429	gene	1062	sigG			
Shinsuense_01429	CDS	1062	sigG		COG1595	ECF RNA polymerase sigma factor SigG
Shinsuense_01430	gene	1425				
Shinsuense_01430	CDS	1425				hypothetical protein
Shinsuense_01431	gene	666				
Shinsuense_01431	CDS	666		1.13.11.24	COG1741	Putative quercetin 2,3-dioxygenase
Shinsuense_01432	gene	1374				
Shinsuense_01432	CDS	1374				hypothetical protein
Shinsuense_01433	gene	1185				
Shinsuense_01433	CDS	1185				hypothetical protein
Shinsuense_01434	gene	795				
Shinsuense_01434	CDS	795				hypothetical protein
Shinsuense_01435	gene	558				
Shinsuense_01435	CDS	558				hypothetical protein
Shinsuense_01436	gene	990				
Shinsuense_01436	CDS	990				hypothetical protein
Shinsuense_01437	gene	786				
Shinsuense_01437	CDS	786				hypothetical protein
Shinsuense_01438	gene	1554				
Shinsuense_01438	CDS	1554				hypothetical protein
Shinsuense_01439	gene	1215	lprN_2			
Shinsuense_01439	CDS	1215	lprN_2			Lipoprotein LprN
Shinsuense_01440	gene	1608				
Shinsuense_01440	CDS	1608				hypothetical protein
Shinsuense_01441	gene	1524				
Shinsuense_01441	CDS	1524				hypothetical protein
Shinsuense_01442	gene	1041				
Shinsuense_01442	CDS	1041				hypothetical protein
Shinsuense_01443	gene	1305				
Shinsuense_01443	CDS	1305				hypothetical protein
Shinsuense_01444	gene	870				
Shinsuense_01444	CDS	870				hypothetical protein
Shinsuense_01445	gene	777	mlaE_4			
Shinsuense_01445	CDS	777	mlaE_4		COG0767	Intermembrane phospholipid transport system permease protein MlaE
Shinsuense_01446	gene	1650	lcfB_6			
Shinsuense_01446	CDS	1650	lcfB_6	6.2.1.3	COG0318	Long-chain-fatty-acid--CoA ligase
Shinsuense_01447	gene	693	mcbR_2			
Shinsuense_01447	CDS	693	mcbR_2		COG1802	HTH-type transcriptional regulator McbR
Shinsuense_01448	gene	441				
Shinsuense_01448	CDS	441				hypothetical protein
Shinsuense_01449	gene	498				
Shinsuense_01449	CDS	498				hypothetical protein
Shinsuense_01450	gene	1107	adhB_1			
Shinsuense_01450	CDS	1107	adhB_1	1.1.1.1	COG1062	Alcohol dehydrogenase B
Shinsuense_01451	gene	906	aes_3			
Shinsuense_01451	CDS	906	aes_3	3.1.1.-		Acetyl esterase
Shinsuense_01452	gene	1593				
Shinsuense_01452	CDS	1593		1.14.13.-	COG2072	Baeyer-Villiger monooxygenase
Shinsuense_01453	gene	735	cpnA_1			
Shinsuense_01453	CDS	735	cpnA_1	1.1.1.163		Cyclopentanol dehydrogenase
Shinsuense_01454	gene	762	garL			
Shinsuense_01454	CDS	762	garL	4.1.2.20		5-keto-4-deoxy-D-glucarate aldolase
Shinsuense_01455	gene	969	adh_1			
Shinsuense_01455	CDS	969	adh_1	1.1.1.1	COG1063	Alcohol dehydrogenase
Shinsuense_01456	gene	771				
Shinsuense_01456	CDS	771		1.14.-.-	COG2124	Putative cytochrome P450 126
Shinsuense_01457	gene	339				
Shinsuense_01457	CDS	339				hypothetical protein
Shinsuense_01458	gene	705				
Shinsuense_01458	CDS	705				hypothetical protein
Shinsuense_01459	gene	549				
Shinsuense_01459	CDS	549				hypothetical protein
Shinsuense_01460	gene	1170	fldA_1			
Shinsuense_01460	CDS	1170	fldA_1	2.8.3.17		Cinnamoyl-CoA:phenyllactate CoA-transferase
Shinsuense_01461	gene	342				
Shinsuense_01461	CDS	342				hypothetical protein
Shinsuense_01462	gene	756				
Shinsuense_01462	CDS	756				hypothetical protein
Shinsuense_01463	gene	678				
Shinsuense_01463	CDS	678				hypothetical protein
Shinsuense_01464	gene	921				
Shinsuense_01464	CDS	921			COG2141	putative protein
Shinsuense_01465	gene	837				
Shinsuense_01465	CDS	837				hypothetical protein
Shinsuense_01466	gene	858				
Shinsuense_01466	CDS	858		3.1.1.99		6-deoxy-6-sulfogluconolactonase
Shinsuense_01467	gene	816				
Shinsuense_01467	CDS	816				hypothetical protein
Shinsuense_01468	gene	546				
Shinsuense_01468	CDS	546				hypothetical protein
Shinsuense_01469	gene	1341				
Shinsuense_01469	CDS	1341		1.-.-.-	COG0277	putative FAD-linked oxidoreductase
Shinsuense_01470	gene	741	fabG3_1			
Shinsuense_01470	CDS	741	fabG3_1	1.1.1.53		3-alpha-(or 20-beta)-hydroxysteroid dehydrogenase
Shinsuense_01471	gene	1083	ord_1			
Shinsuense_01471	CDS	1083	ord_1	1.4.1.26		2,4-diaminopentanoate dehydrogenase
Shinsuense_01472	gene	909	aidA_2			
Shinsuense_01472	CDS	909	aidA_2			Quorum-quenching protein AidA
Shinsuense_01473	gene	1518	PE3_1			
Shinsuense_01473	CDS	1518	PE3_1			PE family protein PE3
Shinsuense_01474	gene	1218				
Shinsuense_01474	CDS	1218				hypothetical protein
Shinsuense_01475	gene	501				
Shinsuense_01475	CDS	501				hypothetical protein
Shinsuense_01476	gene	957	PE3_2			
Shinsuense_01476	CDS	957	PE3_2			PE family protein PE3
Shinsuense_01477	gene	624	kstR2_1			
Shinsuense_01477	CDS	624	kstR2_1			HTH-type transcriptional repressor KstR2
Shinsuense_01478	gene	126				
Shinsuense_01478	CDS	126				hypothetical protein
Shinsuense_01479	gene	1425	pntB			
Shinsuense_01479	CDS	1425	pntB	7.1.1.1	COG1282	NAD(P) transhydrogenase subunit beta
Shinsuense_01480	gene	339				
Shinsuense_01480	CDS	339				hypothetical protein
Shinsuense_01481	gene	1128	pntAA			
Shinsuense_01481	CDS	1128	pntAA	7.1.1.1	COG3288	NAD(P) transhydrogenase subunit alpha part 1
Shinsuense_01482	gene	471				
Shinsuense_01482	CDS	471				hypothetical protein
Shinsuense_01483	gene	879				
Shinsuense_01483	CDS	879				hypothetical protein
Shinsuense_01484	gene	486				
Shinsuense_01484	CDS	486		1.3.99.-	COG1960	Acyl-CoA dehydrogenase fadE12
Shinsuense_01485	gene	567	bbsG_1			
Shinsuense_01485	CDS	567	bbsG_1	1.3.8.3		(R)-benzylsuccinyl-CoA dehydrogenase
Shinsuense_01486	gene	396				
Shinsuense_01486	CDS	396				hypothetical protein
Shinsuense_01487	gene	429				
Shinsuense_01487	CDS	429				hypothetical protein
Shinsuense_01488	gene	519				
Shinsuense_01488	CDS	519		3.1.1.-		Esterase PE16
Shinsuense_01489	gene	927				
Shinsuense_01489	CDS	927				hypothetical protein
Shinsuense_01490	gene	1749	PE3_3			
Shinsuense_01490	CDS	1749	PE3_3			PE family protein PE3
Shinsuense_01491	gene	1653				
Shinsuense_01491	CDS	1653				hypothetical protein
Shinsuense_01492	gene	105				
Shinsuense_01492	CDS	105				hypothetical protein
Shinsuense_01493	gene	1770				
Shinsuense_01493	CDS	1770				hypothetical protein
Shinsuense_01494	gene	3885	dltA_2			
Shinsuense_01494	CDS	3885	dltA_2	6.2.1.54		D-alanine--D-alanyl carrier protein ligase
Shinsuense_01495	gene	522	srfAB_2			
Shinsuense_01495	CDS	522	srfAB_2			Surfactin synthase subunit 2
Shinsuense_01496	gene	735	lgrB_1			
Shinsuense_01496	CDS	735	lgrB_1			Linear gramicidin synthase subunit B
Shinsuense_01497	gene	4266	ppsB_1			
Shinsuense_01497	CDS	4266	ppsB_1	2.3.1.-		Plipastatin synthase subunit B
Shinsuense_01498	gene	441	lgrE_1			
Shinsuense_01498	CDS	441	lgrE_1	1.1.-.-		Linear gramicidin dehydrogenase LgrE
Shinsuense_01499	gene	267	lgrE_2			
Shinsuense_01499	CDS	267	lgrE_2	1.1.-.-		Linear gramicidin dehydrogenase LgrE
Shinsuense_01500	gene	2940	pknD_4			
Shinsuense_01500	CDS	2940	pknD_4	2.7.11.1		Serine/threonine-protein kinase PknD
Shinsuense_01501	gene	861				
Shinsuense_01501	CDS	861				hypothetical protein
Shinsuense_01502	gene	2079	pknD_5			
Shinsuense_01502	CDS	2079	pknD_5	2.7.11.1		Serine/threonine-protein kinase PknD
Shinsuense_01503	gene	576				
Shinsuense_01503	CDS	576				hypothetical protein
Shinsuense_01504	gene	357				
Shinsuense_01504	CDS	357				hypothetical protein
Shinsuense_01505	gene	969				
Shinsuense_01505	CDS	969		1.3.1.103		2-haloacrylate reductase
Shinsuense_01506	gene	861				
Shinsuense_01506	CDS	861		1.1.1.-	COG1028	Putative short-chain type dehydrogenase/reductase
Shinsuense_01507	gene	1482	aldH1			
Shinsuense_01507	CDS	1482	aldH1	1.2.1.-	COG1012	4,4'-diaponeurosporen-aldehyde dehydrogenase
Shinsuense_01508	gene	867				
Shinsuense_01508	CDS	867		2.1.1.-	COG3315	Putative S-adenosyl-L-methionine-dependent methyltransferase
Shinsuense_01509	gene	117				
Shinsuense_01509	CDS	117				hypothetical protein
Shinsuense_01510	gene	942				
Shinsuense_01510	CDS	942		2.1.1.-	COG3315	Putative S-adenosyl-L-methionine-dependent methyltransferase
Shinsuense_01511	gene	933				
Shinsuense_01511	CDS	933		2.1.1.-	COG3315	Putative S-adenosyl-L-methionine-dependent methyltransferase
Shinsuense_01512	gene	636				
Shinsuense_01512	CDS	636				hypothetical protein
Shinsuense_01513	gene	987				
Shinsuense_01513	CDS	987				hypothetical protein
Shinsuense_01514	gene	1446	clcB			
Shinsuense_01514	CDS	1446	clcB			Voltage-gated ClC-type chloride channel ClcB
Shinsuense_01515	gene	912				
Shinsuense_01515	CDS	912				hypothetical protein
Shinsuense_01516	gene	405				
Shinsuense_01516	CDS	405				hypothetical protein
Shinsuense_01517	gene	381				
Shinsuense_01517	CDS	381				hypothetical protein
Shinsuense_01518	gene	1023	oleD_1			
Shinsuense_01518	CDS	1023	oleD_1	1.1.1.412	COG0451	2-alkyl-3-oxoalkanoate reductase
Shinsuense_01519	gene	510				
Shinsuense_01519	CDS	510				hypothetical protein
Shinsuense_01520	gene	537	msrA			
Shinsuense_01520	CDS	537	msrA	1.8.4.11	COG0225	Peptide methionine sulfoxide reductase MsrA
Shinsuense_01521	gene	1326				
Shinsuense_01521	CDS	1326		1.14.-.-	COG2124	Putative cytochrome P450 138
Shinsuense_01522	gene	606				
Shinsuense_01522	CDS	606				hypothetical protein
Shinsuense_01523	gene	213				
Shinsuense_01523	CDS	213				hypothetical protein
Shinsuense_01524	gene	1044				
Shinsuense_01524	CDS	1044		1.1.1.306		S-(hydroxymethyl)mycothiol dehydrogenase
Shinsuense_01525	gene	891	ephA_1			
Shinsuense_01525	CDS	891	ephA_1	3.3.2.10		Epoxide hydrolase A
Shinsuense_01526	gene	1224				
Shinsuense_01526	CDS	1224				hypothetical protein
Shinsuense_01527	gene	600				
Shinsuense_01527	CDS	600				hypothetical protein
Shinsuense_01528	gene	1113				
Shinsuense_01528	CDS	1113				hypothetical protein
Shinsuense_01529	gene	1050				
Shinsuense_01529	CDS	1050		1.-.-.-		Putative coenzyme F420-dependent oxidoreductase
Shinsuense_01530	gene	525				
Shinsuense_01530	CDS	525				hypothetical protein
Shinsuense_01531	gene	1134	desA3_1			
Shinsuense_01531	CDS	1134	desA3_1	1.14.19.-	COG3239	NADPH-dependent stearoyl-CoA 9-desaturase
Shinsuense_01532	gene	693				
Shinsuense_01532	CDS	693		1.-.-.-	COG1018	NADPH oxidoreductase
Shinsuense_01533	gene	198				
Shinsuense_01533	CDS	198				hypothetical protein
Shinsuense_01534	gene	723	fabR			
Shinsuense_01534	CDS	723	fabR		COG1309	HTH-type transcriptional repressor FabR
Shinsuense_01535	gene	390				
Shinsuense_01535	CDS	390				hypothetical protein
Shinsuense_01536	gene	138				
Shinsuense_01536	CDS	138				hypothetical protein
Shinsuense_01537	gene	1509				
Shinsuense_01537	CDS	1509				hypothetical protein
Shinsuense_01538	gene	609				
Shinsuense_01538	CDS	609				hypothetical protein
Shinsuense_01539	gene	1296	bbsG_2			
Shinsuense_01539	CDS	1296	bbsG_2	1.3.8.3		(R)-benzylsuccinyl-CoA dehydrogenase
Shinsuense_01540	gene	456				
Shinsuense_01540	CDS	456		4.2.1.17	COG2030	putative enoyl-CoA hydratase 1
Shinsuense_01541	gene	426				
Shinsuense_01541	CDS	426				hypothetical protein
Shinsuense_01542	gene	1041	fbpC			
Shinsuense_01542	CDS	1041	fbpC	2.3.1.122	COG0627	Diacylglycerol acyltransferase/mycolyltransferase Ag85C
Shinsuense_01543	gene	681				
Shinsuense_01543	CDS	681				hypothetical protein
Shinsuense_01544	gene	1368	mak			
Shinsuense_01544	CDS	1368	mak	2.7.1.175		Maltokinase
Shinsuense_01545	gene	1785	treS			
Shinsuense_01545	CDS	1785	treS	3.2.1.1	COG0366	Trehalose synthase/amylase TreS
Shinsuense_01546	gene	1074				
Shinsuense_01546	CDS	1074				hypothetical protein
Shinsuense_01547	gene	501				
Shinsuense_01547	CDS	501				hypothetical protein
Shinsuense_01548	gene	411				
Shinsuense_01548	CDS	411				hypothetical protein
Shinsuense_01549	gene	2157				
Shinsuense_01549	CDS	2157			COG0480	Elongation factor G-like protein
Shinsuense_01550	gene	477				
Shinsuense_01550	CDS	477				hypothetical protein
Shinsuense_01551	gene	1635	sauT			
Shinsuense_01551	CDS	1635	sauT	6.2.1.-	COG0318	putative sulfoacetate--CoA ligase
Shinsuense_01552	gene	1764	oxc			
Shinsuense_01552	CDS	1764	oxc	4.1.1.8	COG0028	Oxalyl-CoA decarboxylase
Shinsuense_01553	gene	933	hdfR			
Shinsuense_01553	CDS	933	hdfR			HTH-type transcriptional regulator HdfR
Shinsuense_01554	gene	756	ldtA			
Shinsuense_01554	CDS	756	ldtA	2.3.2.-	COG1376	L,D-transpeptidase 1
Shinsuense_01555	gene	1815	mntH_1			
Shinsuense_01555	CDS	1815	mntH_1			Divalent metal cation transporter MntH
Shinsuense_01556	gene	216				
Shinsuense_01556	CDS	216				hypothetical protein
Shinsuense_01557	gene	666	trmR_1			
Shinsuense_01557	CDS	666	trmR_1	2.1.1.-		tRNA 5-hydroxyuridine methyltransferase
Shinsuense_01558	gene	2013				
Shinsuense_01558	CDS	2013				hypothetical protein
Shinsuense_01559	gene	1221	frc_2			
Shinsuense_01559	CDS	1221	frc_2	2.8.3.16		Formyl-CoA:oxalate CoA-transferase
Shinsuense_01560	gene	936				
Shinsuense_01560	CDS	936		1.1.1.-	COG1028	Putative short-chain type dehydrogenase/reductase
Shinsuense_01561	gene	1629	pntE			
Shinsuense_01561	CDS	1629	pntE	1.14.13.170		Pentalenolactone D synthase
Shinsuense_01562	gene	1182	fgd_2			
Shinsuense_01562	CDS	1182	fgd_2	1.1.98.2		F420-dependent glucose-6-phosphate dehydrogenase
Shinsuense_01563	gene	1362				
Shinsuense_01563	CDS	1362		1.14.13.239		Carnitine monooxygenase oxygenase subunit
Shinsuense_01564	gene	876	fabG_1			
Shinsuense_01564	CDS	876	fabG_1	1.1.1.100		3-oxoacyl-[acyl-carrier-protein] reductase FabG
Shinsuense_01565	gene	1311	vgb			
Shinsuense_01565	CDS	1311	vgb	4.2.99.-		Virginiamycin B lyase
Shinsuense_01566	gene	780				
Shinsuense_01566	CDS	780				hypothetical protein
Shinsuense_01567	gene	1611	fadK_1			
Shinsuense_01567	CDS	1611	fadK_1	6.2.1.-	COG0318	Medium-chain fatty-acid--CoA ligase
Shinsuense_01568	gene	789	xecD			
Shinsuense_01568	CDS	789	xecD	1.1.1.268		2-(R)-hydroxypropyl-CoM dehydrogenase
Shinsuense_01569	gene	462				
Shinsuense_01569	CDS	462				hypothetical protein
Shinsuense_01570	gene	870	glpG			
Shinsuense_01570	CDS	870	glpG	3.4.21.105		Rhomboid protease GlpG
Shinsuense_01571	gene	1596				
Shinsuense_01571	CDS	1596				hypothetical protein
Shinsuense_01572	gene	207				
Shinsuense_01572	CDS	207				hypothetical protein
Shinsuense_01573	gene	4863	ctpI_2			
Shinsuense_01573	CDS	4863	ctpI_2	3.6.3.-	COG0474	putative cation-transporting ATPase I
Shinsuense_01574	gene	1587	fadD3_2			
Shinsuense_01574	CDS	1587	fadD3_2	6.2.1.41	COG0318	3-[(3aS,4S,7aS)-7a-methyl-1,5-dioxo-octahydro-1H-inden-4-yl]propanoyl:CoA ligase
Shinsuense_01575	gene	900				
Shinsuense_01575	CDS	900				hypothetical protein
Shinsuense_01576	gene	273	rpmE2			
Shinsuense_01576	CDS	273	rpmE2		COG0254	50S ribosomal protein L31 type B
Shinsuense_01577	gene	1197				
Shinsuense_01577	CDS	1197			COG0523	putative protein
Shinsuense_01578	gene	237	rpmB_1			
Shinsuense_01578	CDS	237	rpmB_1		COG0227	50S ribosomal protein L28
Shinsuense_01579	gene	165	rpmG2_2			
Shinsuense_01579	CDS	165	rpmG2_2		COG0267	50S ribosomal protein L33 2
Shinsuense_01580	gene	306	rpsN			
Shinsuense_01580	CDS	306	rpsN		COG0199	30S ribosomal protein S14
Shinsuense_01581	gene	264				
Shinsuense_01581	CDS	264				hypothetical protein
Shinsuense_01582	gene	951				
Shinsuense_01582	CDS	951				hypothetical protein
Shinsuense_01583	gene	606				
Shinsuense_01583	CDS	606				hypothetical protein
Shinsuense_01584	gene	1326	rutD_2			
Shinsuense_01584	CDS	1326	rutD_2	3.5.1.-		Putative aminoacrylate hydrolase RutD
Shinsuense_01585	gene	1575				
Shinsuense_01585	CDS	1575				hypothetical protein
Shinsuense_01586	gene	873	plcA_1			
Shinsuense_01586	CDS	873	plcA_1	3.1.4.3	COG3511	Phospholipase C 1
Shinsuense_01587	gene	210				
Shinsuense_01587	CDS	210				hypothetical protein
Shinsuense_01588	gene	1233				
Shinsuense_01588	CDS	1233		1.14.13.106	COG2124	Epi-isozizaene 5-monooxygenase/(E)-beta-farnesene synthase
Shinsuense_01589	gene	1035				
Shinsuense_01589	CDS	1035		2.5.1.10	COG0142	(2E,6E)-farnesyl diphosphate synthase
Shinsuense_01590	gene	1389	ptlI			
Shinsuense_01590	CDS	1389	ptlI	1.14.15.32	COG2124	Pentalenene oxygenase
Shinsuense_01591	gene	735				
Shinsuense_01591	CDS	735				hypothetical protein
Shinsuense_01592	gene	258				
Shinsuense_01592	CDS	258				hypothetical protein
Shinsuense_01593	gene	723				
Shinsuense_01593	CDS	723				hypothetical protein
Shinsuense_01594	gene	1017				
Shinsuense_01594	CDS	1017				hypothetical protein
Shinsuense_01595	gene	687	ispH1_1			
Shinsuense_01595	CDS	687	ispH1_1	1.17.7.4	COG0761	4-hydroxy-3-methylbut-2-enyl diphosphate reductase 1
Shinsuense_01596	gene	282	ispH1_2			
Shinsuense_01596	CDS	282	ispH1_2	1.17.7.4	COG0761	4-hydroxy-3-methylbut-2-enyl diphosphate reductase 1
Shinsuense_01597	gene	1842	dxs_1			
Shinsuense_01597	CDS	1842	dxs_1	2.2.1.7	COG1154	1-deoxy-D-xylulose-5-phosphate synthase
Shinsuense_01598	gene	222	ispG_2			
Shinsuense_01598	CDS	222	ispG_2	1.17.7.3	COG0821	4-hydroxy-3-methylbut-2-en-1-yl diphosphate synthase (flavodoxin)
Shinsuense_01599	gene	825	ispG_3			
Shinsuense_01599	CDS	825	ispG_3	1.17.7.3	COG0821	4-hydroxy-3-methylbut-2-en-1-yl diphosphate synthase (flavodoxin)
Shinsuense_01600	gene	1296				
Shinsuense_01600	CDS	1296				hypothetical protein
Shinsuense_01601	gene	396				
Shinsuense_01601	CDS	396				hypothetical protein
Shinsuense_01602	gene	147				
Shinsuense_01602	CDS	147				hypothetical protein
Shinsuense_01603	gene	417				
Shinsuense_01603	CDS	417				hypothetical protein
Shinsuense_01604	gene	1272	cypX			
Shinsuense_01604	CDS	1272	cypX	1.14.15.13	COG2124	Pulcherriminic acid synthase
Shinsuense_01605	gene	807	linC_1			
Shinsuense_01605	CDS	807	linC_1	1.1.1.-	COG1028	2,5-dichloro-2,5-cyclohexadiene-1,4-diol dehydrogenase
Shinsuense_01606	gene	2274	ctpB			
Shinsuense_01606	CDS	2274	ctpB	3.6.3.-	COG2217	Cation-transporting P-type ATPase B
Shinsuense_01607	gene	219				
Shinsuense_01607	CDS	219				hypothetical protein
Shinsuense_01608	gene	1977				
Shinsuense_01608	CDS	1977			COG3336	putative protein
Shinsuense_01609	gene	753				
Shinsuense_01609	CDS	753				putative protein
Shinsuense_01610	gene	555	sigC_1			
Shinsuense_01610	CDS	555	sigC_1		COG1595	ECF RNA polymerase sigma factor SigC
Shinsuense_01611	gene	2292	ctpA_1			
Shinsuense_01611	CDS	2292	ctpA_1	7.2.2.8	COG2217	Copper-exporting P-type ATPase
Shinsuense_01612	gene	714				
Shinsuense_01612	CDS	714			COG5660	putative protein
Shinsuense_01613	gene	810				
Shinsuense_01613	CDS	810				hypothetical protein
Shinsuense_01614	gene	1419				
Shinsuense_01614	CDS	1419				putative PPE family protein PPE37
Shinsuense_01615	gene	870				
Shinsuense_01615	CDS	870		1.-.-.-	COG2175	Putative dioxygenase
Shinsuense_01616	gene	555				
Shinsuense_01616	CDS	555				putative protein
Shinsuense_01617	gene	1596				
Shinsuense_01617	CDS	1596		6.2.1.-	COG0318	Putative fatty-acid--CoA ligase FadD10
Shinsuense_01618	gene	252				
Shinsuense_01618	CDS	252				putative protein
Shinsuense_01619	gene	4251	dltA_3			
Shinsuense_01619	CDS	4251	dltA_3	6.2.1.54		D-alanine--D-alanyl carrier protein ligase
Shinsuense_01620	gene	555	mmpL4_6			
Shinsuense_01620	CDS	555	mmpL4_6		COG2409	Siderophore exporter MmpL4
Shinsuense_01621	gene	498	mmpL4_7			
Shinsuense_01621	CDS	498	mmpL4_7		COG2409	Siderophore exporter MmpL4
Shinsuense_01622	gene	417	mmpL4_8			
Shinsuense_01622	CDS	417	mmpL4_8		COG2409	Siderophore exporter MmpL4
Shinsuense_01623	gene	1332	mmpL4_9			
Shinsuense_01623	CDS	1332	mmpL4_9		COG2409	Siderophore exporter MmpL4
Shinsuense_01624	gene	804				
Shinsuense_01624	CDS	804				hypothetical protein
Shinsuense_01625	gene	486				
Shinsuense_01625	CDS	486				hypothetical protein
Shinsuense_01626	gene	756	mtnN			
Shinsuense_01626	CDS	756	mtnN	3.2.2.9	COG0775	5'-methylthioadenosine/S-adenosylhomocysteine nucleosidase
Shinsuense_01627	gene	825				
Shinsuense_01627	CDS	825				hypothetical protein
Shinsuense_01628	gene	630				
Shinsuense_01628	CDS	630				hypothetical protein
Shinsuense_01629	gene	861	hsdA			
Shinsuense_01629	CDS	861	hsdA	1.1.1.50		3-alpha-hydroxysteroid dehydrogenase/carbonyl reductase
Shinsuense_01630	gene	615				
Shinsuense_01630	CDS	615				hypothetical protein
Shinsuense_01631	gene	825				
Shinsuense_01631	CDS	825			COG3305	putative protein
Shinsuense_01632	gene	801	paaF_2			
Shinsuense_01632	CDS	801	paaF_2	4.2.1.17	COG1024	2,3-dehydroadipyl-CoA hydratase
Shinsuense_01633	gene	600	COQ3_1			
Shinsuense_01633	CDS	600	COQ3_1	2.1.1.222		Ubiquinone biosynthesis O-methyltransferase, mitochondrial
Shinsuense_01634	gene	813				
Shinsuense_01634	CDS	813				hypothetical protein
Shinsuense_01635	gene	1608				
Shinsuense_01635	CDS	1608				hypothetical protein
Shinsuense_01636	gene	960				
Shinsuense_01636	CDS	960		1.1.99.36		NDMA-dependent alcohol dehydrogenase
Shinsuense_01637	gene	1677				
Shinsuense_01637	CDS	1677		1.14.13.-	COG2072	Baeyer-Villiger monooxygenase
Shinsuense_01638	gene	1608	ptlE			
Shinsuense_01638	CDS	1608	ptlE	1.14.13.171	COG2072	Neopentalenolactone D synthase
Shinsuense_01639	gene	630	betI_2			
Shinsuense_01639	CDS	630	betI_2			HTH-type transcriptional regulator BetI
Shinsuense_01640	gene	663	betI_3			
Shinsuense_01640	CDS	663	betI_3			HTH-type transcriptional regulator BetI
Shinsuense_01641	gene	1011				
Shinsuense_01641	CDS	1011				hypothetical protein
Shinsuense_01642	gene	564				
Shinsuense_01642	CDS	564				hypothetical protein
Shinsuense_01643	gene	474				
Shinsuense_01643	CDS	474				putative protein
Shinsuense_01644	gene	231				
Shinsuense_01644	CDS	231				hypothetical protein
Shinsuense_01645	gene	852				
Shinsuense_01645	CDS	852				hypothetical protein
Shinsuense_01646	gene	2370	ctpA_2			
Shinsuense_01646	CDS	2370	ctpA_2	7.2.2.8	COG2217	Copper-exporting P-type ATPase
Shinsuense_01647	gene	1224				
Shinsuense_01647	CDS	1224		1.14.13.239		Carnitine monooxygenase oxygenase subunit
Shinsuense_01648	gene	807				
Shinsuense_01648	CDS	807				hypothetical protein
Shinsuense_01649	gene	1506				
Shinsuense_01649	CDS	1506				hypothetical protein
Shinsuense_01650	gene	609				
Shinsuense_01650	CDS	609				hypothetical protein
Shinsuense_01651	gene	144				
Shinsuense_01651	CDS	144				hypothetical protein
Shinsuense_01652	gene	531				
Shinsuense_01652	CDS	531				hypothetical protein
Shinsuense_01653	gene	606	tetC			
Shinsuense_01653	CDS	606	tetC			Transposon Tn10 TetC protein
Shinsuense_01654	gene	831	dhmA_1			
Shinsuense_01654	CDS	831	dhmA_1	3.8.1.5		Haloalkane dehalogenase
Shinsuense_01655	gene	594				
Shinsuense_01655	CDS	594				hypothetical protein
Shinsuense_01656	gene	1098				
Shinsuense_01656	CDS	1098				hypothetical protein
Shinsuense_01657	gene	324				
Shinsuense_01657	CDS	324				hypothetical protein
Shinsuense_01658	gene	735				
Shinsuense_01658	CDS	735				hypothetical protein
Shinsuense_01659	gene	1239				
Shinsuense_01659	CDS	1239		1.14.13.239		Carnitine monooxygenase oxygenase subunit
Shinsuense_01660	gene	2958	gcvP_1			
Shinsuense_01660	CDS	2958	gcvP_1	1.4.4.2		Glycine dehydrogenase (decarboxylating)
Shinsuense_01661	gene	702	gcvT_1			
Shinsuense_01661	CDS	702	gcvT_1	2.1.2.10	COG0404	Aminomethyltransferase
Shinsuense_01662	gene	393	gcvT_2			
Shinsuense_01662	CDS	393	gcvT_2	2.1.2.10	COG0404	Aminomethyltransferase
Shinsuense_01663	gene	405	gcvH_1			
Shinsuense_01663	CDS	405	gcvH_1		COG0509	Glycine cleavage system H protein
Shinsuense_01664	gene	1278	glyA2			
Shinsuense_01664	CDS	1278	glyA2	2.1.2.1	COG0112	Serine hydroxymethyltransferase 2
Shinsuense_01665	gene	1386	sdaA			
Shinsuense_01665	CDS	1386	sdaA	4.3.1.17	COG1760	L-serine dehydratase
Shinsuense_01666	gene	1614				
Shinsuense_01666	CDS	1614		1.3.99.5		3-oxo-5-alpha-steroid 4-dehydrogenase
Shinsuense_01667	gene	192				
Shinsuense_01667	CDS	192				hypothetical protein
Shinsuense_01668	gene	558	betI_4			
Shinsuense_01668	CDS	558	betI_4			HTH-type transcriptional regulator BetI
Shinsuense_01669	gene	843				
Shinsuense_01669	CDS	843				hypothetical protein
Shinsuense_01670	gene	156				
Shinsuense_01670	CDS	156				hypothetical protein
Shinsuense_01671	gene	705	tcrX_1			
Shinsuense_01671	CDS	705	tcrX_1		COG0745	putative transcriptional regulatory protein TcrX
Shinsuense_01672	gene	1515	tcrY_1			
Shinsuense_01672	CDS	1515	tcrY_1	2.7.13.3		putative sensor histidine kinase TcrY
Shinsuense_01673	gene	486	lpqH			
Shinsuense_01673	CDS	486	lpqH			Lipoprotein LpqH
Shinsuense_01674	gene	762				
Shinsuense_01674	CDS	762				hypothetical protein
Shinsuense_01675	gene	1299	yjcS_1			
Shinsuense_01675	CDS	1299	yjcS_1	3.1.6.-	COG2015	Putative alkyl/aryl-sulfatase YjcS
Shinsuense_01676	gene	762	ccr			
Shinsuense_01676	CDS	762	ccr	1.3.1.86		Crotonyl-CoA reductase
Shinsuense_01677	gene	603				
Shinsuense_01677	CDS	603				hypothetical protein
Shinsuense_01678	gene	1308	bbsG_3			
